Objeto,Tipo,Propiedad,Modificacion,Check,Chutado,Otro
_sp_QuienBloqueaBD,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
ABC,Table,NativoDesde5000,NativoDesde5000,0,0,
ABCSugerido,Table,NativoDesde3100,IgualDesde3100,0,0,
ABCSugeridoCat,Table,NativoDesde3100,IgualDesde3100,0,0,
Acceso,Table,NativoDesde3100,CambioIntelisis,0,0,
AccesoMes,Table,NativoDesde5000,NativoDesde5000,0,0,
ACDiaCerrado,Table,NativoDesde3100,IgualDesde3100,0,0,
ACInversionAuto,Table,NativoDesde3100,IgualDesde3100,0,0,
Acronimo,Table,NativoDesde3100,IgualDesde3100,0,0,
ActCat,Table,NativoDesde3100,IgualDesde3100,0,0,
ActClave,Table,NativoDesde3100,IgualDesde3100,0,0,
ActFam,Table,NativoDesde3100,IgualDesde3100,0,0,
ActFDedActualizadaInversiones,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFDedAcumuladaInversiones,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFDedNormalInversiones,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFUtiloPerdEnajenaActivos,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActFUtiloPerdEnajenaTerrenos,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
Actividad,Table,NativoDesde3100,IgualDesde3100,0,0,
Actividad_ASIS,View,NativoDesde3100,IgualDesde3100,0,0,
Actividad_GAS,View,NativoDesde3100,IgualDesde3100,0,0,
Actividad_VTAS,View,NativoDesde3100,IgualDesde3100,0,0,
ActividadEconomicaCNBV,Table,NativoDesde3100,IgualDesde3100,0,0,
ActividadTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
ActivoF,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ActivoFCat,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
ActivoFDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ActivoFijo,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ActivoFijoC,Table,NativoDesde3100,IgualDesde3100,0,0,
ActivoFijoCampoExtra,View,SoloDeMavi,SoloDeMavi,0,0,
ActivoFijoCont,View,NativoDesde3100,IgualDesde3100,0,0,
ActivoFijoD,Table,NativoDesde3100,AmbosSinConflictos,CambioIntelisis,1,CambioMavi
ActivoFijoDExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
ActivoFijoExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
ActivoFijoSugerir,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFIndicador,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFLectura,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
ActivoFReferencia,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFSubDisponible,View,NativoDesde3100,IgualDesde3100,0,0,
ActivoFTipo,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoIndicador,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoIndicadorLista,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoServicio,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivoFTipoServicioCondicion,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivosF,Table,NativoDesde5000,NativoDesde5000,0,0,
ActivosFTipos,Table,NativoDesde5000,NativoDesde5000,0,0,
Actualiza_CampoCobranza,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
ActualizacionRecargo,Table,NativoDesde5000,NativoDesde5000,0,0,
ActualizaGerenciaDetalle,Stored Procedure,NativoDesde5000,NativoDesde5000,0,0,
ActualizaSIDFinger,Table,SoloDeMavi,SoloDeMavi,0,0,
AcuerdoTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
Acum,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumMayor,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumMayorSucursal,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumMESU,Table,NativoDesde5000,NativoDesde5000,0,0,
AcumP,Table,SoloDeMavi,SoloDeMavi,0,0,
AcumPMon,Table,NativoDesde5000,NativoDesde5000,0,0,
AcumR,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumRU,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumU,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AcumUGral,View,NativoDesde5000,NativoDesde5000,0,0,
AcumUWMS,Table,NativoDesde5000,NativoDesde5000,0,0,
Aduana,Table,NativoDesde3100,IgualDesde3100,0,0,
AfectacionCredilanaCXC,Table,SoloDeMavi,SoloDeMavi,0,0,
AfectacionUsuario,Table,NativoDesde5000,NativoDesde5000,0,0,
AfectarBitacora,Table,NativoDesde3100,IgualDesde3100,0,0,
agdArchivoLog,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCartaCupo,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCartaCupoArchivo,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCartaCupoD,Table,NativoDesde3100,IgualDesde3100,0,0,
agdCfg,Table,NativoDesde3100,IgualDesde3100,0,0,
AgendaEstacion,Table,NativoDesde5000,NativoDesde5000,0,0,
AgendaHora,Table,NativoDesde3100,IgualDesde3100,0,0,
Agent,Table,NativoDesde3100,IgualDesde3100,0,0,
AgentAux,View,NativoDesde3100,IgualDesde3100,0,0,
AgentC,Table,NativoDesde3100,IgualDesde3100,0,0,
AgentCont,View,NativoDesde3100,IgualDesde3100,0,0,
AgentD,Table,NativoDesde3100,IgualDesde3100,0,0,
Agente,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
AgenteAcceso,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteActividad,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteAgenda,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteArt,Table,NativoDesde5000,NativoDesde5000,0,0,
AgenteCampoExtra,View,SoloDeMavi,SoloDeMavi,0,0,
AgenteCat,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteComisionTipoFactura,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteConsecutivo,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteCte,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteFam,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteFamiliaHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteGrupo,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AgenteNivelHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteNombre,View,NativoDesde3100,IgualDesde3100,0,0,
AgenteObjetivos,Table,NativoDesde5000,NativoDesde5000,0,0,
AgentePersonal,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteReportaHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteRutaMavi,Table,SoloDeMavi,SoloDeMavi,0,0,
Agentes,Table,SoloDeMavi,SoloDeMavi,0,0,
AgenteTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
AgenteTipoHistMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AgentExportacion,View,NativoDesde5000,NativoDesde5000,0,0,
AgenteZona,Table,NativoDesde5000,NativoDesde5000,0,0,
AgentPendiente,View,NativoDesde3100,IgualDesde3100,0,0,
AgentSaldo,View,NativoDesde3100,IgualDesde3100,0,0,
AgentUnico,View,NativoDesde3100,IgualDesde3100,0,0,
Agrupado,Table,SoloDeMavi,SoloDeMavi,0,0,
AjusteAnual,Stored Procedure,SoloDeMavi,SoloDeMavi,0,0,
Alchemy_Ctes,Table,SoloDeMavi,SoloDeMavi,0,0,
Alm,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
AlmABC,Table,NativoDesde3100,IgualDesde3100,0,0,
AlmCompra,View,NativoDesde3100,IgualDesde3100,0,0,
AlmDist,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmDistribucion,View,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AlmGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
AlmMES,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmOrdenAcomodoReciboMov,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmOrdenAcomodoSurtidoMov,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmOrdenEntarimadoMov,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmPos,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AlmProceso,View,NativoDesde3100,IgualDesde3100,0,0,
AlmROP,View,NativoDesde3100,IgualDesde3100,0,0,
AlmSugerirSurtidoTarima,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmTipo,Table,NativoDesde5000,NativoDesde5000,0,0,
AlmVenta,View,NativoDesde3100,IgualDesde3100,0,0,
Amenidades,Table,NativoDesde5000,NativoDesde5000,0,0,
AmenidadesHorario,Table,NativoDesde5000,NativoDesde5000,0,0,
AnaliticoDistNomina,Table,SoloDeMavi,SoloDeMavi,0,0,
ANDROID_PASOS,Table,SoloDeMavi,SoloDeMavi,0,0,
AnexoBase64,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoCat,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoContaSAT,Table,SoloDeMavi,SoloDeMavi,0,0,
AnexoCta,Table,NativoDesde3100,CambioIntelisis,CambioIntelisis,0,
AnexoCta50,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoCtaSub,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoDocTipo,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoFam,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoGrupo,Table,NativoDesde3100,IgualDesde3100,0,0,
AnexoMov,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
AnexoMovComprobante,Table,NativoDesde5000,NativoDesde5000,0,0,
AnexoMovD,Table,NativoDesde3100,IgualDesde3100,0,0,
Anticipo,Table,NativoDesde3100,CambioSoloMavi,0,1,CambioSoloMavi
AnticipoFactura,Scalar Function,SoloDeMavi,SoloDeMavi,0,0,
AnticipoPendiente,View,NativoDesde3100,IgualDesde3100,0,0,
AnticiposCtes,Table,NativoDesde5000,NativoDesde5000,0,0,
Anuncio,Table,NativoDesde3100,IgualDesde3100,0,0,
AnuncioArt,Table,NativoDesde3100,IgualDesde3100,0,0,
AnuncioD,Table,NativoDesde3100,IgualDesde3100,0,0,
AnuncioHorario,Table,NativoDesde3100,IgualDesde3100,0,0,
aplicaciones,Table,NativoDesde5000,NativoDesde5000,0,0,
APLICNOTCRED_DEP2016,Table,SoloDeMavi,SoloDeMavi,0,0,
ApoyosMayPisoRevisionMAVI,Table,SoloDeMavi,SoloDeMavi,0,0,
AppEmbarqueUbicacion,View,NativoDesde5000,NativoDesde5000,0,0,
Archivo,Table,NativoDesde3100,IgualDesde3100,0,0,
ArchivoD,Table,NativoDesde3100,IgualDesde3100,0,0,
ArchivoTemp,Table,EnProduccionYNativo5000,Ambos,1,0,
Area,Table,NativoDesde3100,IgualDesde3100,0,0,
aroDeteccion,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEvento,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEventoPerdida,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEventoPerdidaD,Table,NativoDesde3100,IgualDesde3100,0,0,
aroEventoPerdidaPoliza,Table,NativoDesde3100,IgualDesde3100,0,0,
aroFactor,Table,NativoDesde3100,IgualDesde3100,0,0,
aroLinea,Table,NativoDesde3100,IgualDesde3100,0,0,
aroNivel,Table,NativoDesde3100,IgualDesde3100,0,0,
aroOcurrencia,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProcedimiento,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProcedimientoArt,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProcedimientoUnidad,Table,NativoDesde3100,IgualDesde3100,0,0,
aroProceso,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgo,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoArt,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoControlInterno,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoEvaluacion,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoEvaluacionD,Table,NativoDesde3100,IgualDesde3100,0,0,
aroRiesgoFactor,Table,NativoDesde3100,IgualDesde3100,0,0,
aroSeveridad,Table,NativoDesde3100,IgualDesde3100,0,0,
aroSeveridadCualitativa,View,NativoDesde3100,IgualDesde3100,0,0,
aroSeveridadCuantitativa,View,NativoDesde3100,IgualDesde3100,0,0,
aroUnidad,Table,NativoDesde3100,IgualDesde3100,0,0,
aroValuacion,Table,NativoDesde3100,IgualDesde3100,0,0,
ArrastreProy,Table,NativoDesde5000,NativoDesde5000,0,0,
Art,Table,NativoDesde3100,Ambos,CambioIntelisis,1,CambioMavi
Art_Clasificacion_Ieps,Table,NativoDesde5000,NativoDesde5000,0,0,
art_clonar_prop_e_img,Table,SoloDeMavi,SoloDeMavi,0,0,
ArtAcceso,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtAccesorio,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtACCupon,Table,NativoDesde3100,IgualDesde3100,0,0,
ArtActividad,Table,NativoDesde3100,IgualDesde3100,0,0,
